25 20
#############
#...........#    ########
#...s...s...######......#
#.....k..............s..#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
<<<<<<< HEAD
  #.......#      #......#
  #.......#      #......#
  #.......#      #..c...#
=======
  #.......#      #..?...#
  #.-..+..#      #......#
  #.......#      #......#
>>>>>>> 893d70f1d7708ca33f763c7cb42751c638a65e4a
  #.......#      #......#
  #.......#      #......#
  #########       ######
